Engine speed,Engine load,Railpressure,Air supply,Crank angle,Intake pressure,Back pressure,Intake temperature,NOx,PM 1,CO2,Pressure cylinder
1500,96.87,2034.1,502.1795,-4.23,1889.5,1867.6,58.6,178.2967856,2.840464652,84.57026129,89.91157128
1500,115.82,2104.6,603.9273,-2.08,2289.4,2246.7,61.7,177.6840092,2.980148323,102.899468,117.1849622
1500,136.17,2067.4,675.5218,0.07,2597.9,2540.4,65.2,255.9126534,2.922685238,117.1972451,127.7535327
1600,9.86,1107.4,201.4158,6.21,1057.7,1208.5,71.4,42.44052836,0.259292939,8.955223047,52.07815447
1600,28.02,1296.7,236.4013,5.8,1068.4,1192.5,64.5,38.8866096,1.471725831,25.87732248,57.57352675
1600,73.35,1898.7,440.3396,-1.89,1501.7,1502.5,53.9,132.0575825,3.425840643,68.10522139,75.59963142
1600,96.41,2061.2,559.3143,-3.25,1967.2,1965.7,59.1,227.2010755,1.86317054,87.61611006,96.87889093
1600,115.45,2181,655.3975,-0.89,2359.4,2361.1,63.7,302.992452,2.200119703,104.2009471,116.951406
1600,135.17,2195.4,740.8542,1.39,2712.3,2711.7,68.1,330.6336927,2.385972237,127.1460152,141.6491315
1700,10.25,1165,245.5282,6.43,1082.8,1216.5,67.3,55.85329251,0.313320497,9.562500176,52.0237614
1700,28.33,1346.2,262.9306,6.02,1088.4,1215,63.3,43.34214777,1.661251713,27.32048846,59.17341338
1700,73.59,2021.3,470.1395,-0.74,1506,1517,54.2,177.8702509,2.981342659,72.55160571,76.80526541
1700,96.58,2192.1,589.233,-1.76,1978.7,2010.5,60.8,187.1987054,2.892977749,92.99648375,101.0710847
1700,115.23,2290.5,703.2143,0.7,2446.7,2505.9,67.1,205.8740001,1.890467558,106.661501,116.0534307
1700,135.93,2298.3,793.9227,2.31,2792.6,2846.2,71.7,269.5846153,4.134867394,132.3540374,138.6744672
1800,16.54,1317.1,269.6929,6.25,1108.4,1255.8,65.7,50.60141134,0.537152591,16.30250993,53.86597595
1800,35.66,1521.7,310.56,5.69,1123.5,1236.1,60.9,66.86942041,4.095885263,36.29146718,60.49792976
1800,57.76,1956.5,398.7758,3.03,1261.7,1319.4,55.3,116.5035523,1.939489343,58.89040054,69.687795
1800,82.62,2306.6,529.1589,-1.31,1654.3,1693.6,57.8,136.4144913,2.8765429,80.42304051,80.90251546
1800,102.49,2374.4,664.1809,0.47,2163.3,2230.5,64.7,231.9942302,3.134842267,99.18699123,107.2926611
1800,122.01,2401.4,787.3758,2.4,2641.6,2735.6,71.5,281.4204596,3.389472797,129.1637746,135.8078932
1800,145.02,2378.4,885.3311,2.72,2964.4,3036.9,75.2,374.0121223,4.490790259,144.6997824,149.0686182
1900,11.3,1425,282.7562,5.92,1098.5,1245.4,67.2,59.10550765,0.368304991,11.91544767,53.78920233
1900,29.67,1590.6,296.7229,5.66,1137.8,1298.9,65.9,44.76858109,1.573982686,32.30613276,58.82543969
1900,50.34,1927.4,402.013,4.73,1228,1302.6,56.2,89.36735307,4.923390587,53.35149411,67.18229949
1900,75.43,2432.9,512.6107,-0.16,1519.1,1567.1,57.1,172.214558,2.043244585,82.48518418,76.8343774
1900,95.98,2499.2,661.2485,0.92,2031.6,2105.5,63.9,165.1238356,3.630985714,104.6658275,99.42011872
1900,115.29,2499.3,800.7886,3.08,2581.9,2705.1,72.9,255.2914297,3.272382417,123.216745,131.5974394
1900,138.39,2499.3,922.4504,2.94,2984.8,3103.4,77.4,310.6518247,5.698707406,155.3462762,141.2361521
2000,11.63,1663.3,292.945,5.87,1093.5,1250.3,68,45.11063725,0.370432394,13.33908766,50.75279104
2000,30.24,1828.4,311.2089,5.73,1147.1,1319.3,66.9,45.09821278,1.463232532,34.86815098,62.72072069
2000,51.19,2122.9,424.0701,4.39,1272.8,1367.7,58.8,115.883824,1.440617045,56.73930127,69.12755251
2000,75.09,2484.8,565.8406,0.91,1623.6,1691.9,59,203.6444183,2.331902118,86.67512769,81.03448932
2000,96.15,2500,730.3445,1.67,2184,2288.6,67.3,212.4902122,4.115932301,111.5411653,111.5080029
2000,116.28,2499.9,875.2752,3.49,2747.6,2907.4,76.7,275.2308119,3.440837345,129.8475254,135.6072194
2000,139.54,2500.3,1008.3008,3.66,3129.9,3329.4,79.7,328.1474278,4.017909146,163.0805204,160.0473753
2100,18.24,1988.6,314.3224,5.88,1129.6,1308.9,67,50.13758783,0.161311003,21.57928619,57.32132112
2100,37.78,2193.1,384.8063,4.71,1240.2,1394.7,64.1,67.18830825,1.45812882,45.28383662,63.98285066
2100,60.31,2390.3,512.5911,2.25,1490,1602.5,61.8,109.8514811,1.47355283,73.3839174,71.60787253
2100,82.28,2500.1,692.4454,1.8,1989.2,2106.2,65.7,179.7236663,3.800789598,101.2517531,97.02074606
2100,103.34,2499.9,866.9366,2.78,2619.5,2796.9,75.6,305.654706,4.217826389,122.7227163,128.9598467
2100,124.97,2500.1,1010.2031,4.27,3036,3326.6,80.6,278.4490306,3.488290069,146.1100638,147.986138
2200,12.6,2294.6,321.2649,5.7,1084.5,1251.6,68,68.30548934,0.239003083,14.55072158,55.08816484
2200,31.97,2407.8,360.0267,4.44,1210.4,1407.5,68.1,59.02311819,0.730860222,40.95096927,60.12039545
2200,53.83,2499.2,533.5734,1.76,1541.1,1684,63.8,126.5792916,0.525628114,65.46926104,71.75000622
2200,74.83,2500,700.0095,3.02,1989.7,2139.8,68,157.5079865,3.87805283,86.52547909,99.71365231
